"","baffle_prop","density","bush_density","df.prop_males","tactic","mean_success","sd","ci"
"90",0.49,0.75,0,0.5,"baffler",0.53827868852459,0.449135868593352,0.088030630244297
"91",0.49,1,0,0.5,"baffler",0.604508196721311,0.478428521110819,0.0937719901377206
"92",0.53,0.01,0,0.5,"baffler",0.0833333333333333,0.0292913460197182,0.00574110381986477
"93",0.53,0.05,0,0.5,"baffler",0.191212121212121,0.112418842383493,0.0220340931071646
"94",0.53,0.1,0,0.5,"baffler",0.248484848484849,0.162149744749388,0.0317813499708801
"95",0.53,0.25,0,0.5,"baffler",0.3575,0.266764943403164,0.0522859289070202
"96",0.53,0.5,0,0.5,"baffler",0.458333333333333,0.371736478667762,0.0728603498188813
"97",0.53,0.75,0,0.5,"baffler",0.525757575757576,0.43757473585735,0.0857646482280407
"98",0.53,1,0,0.5,"baffler",0.5825,0.493129389633939,0.096653360368252
"99",0.57,0.01,0,0.5,"baffler",0.0776923076923077,0.0306981107982646,0.00601682971645985
"100",0.57,0.05,0,0.5,"baffler",0.186503496503497,0.104539223470286,0.020489687800176
"101",0.57,0.1,0,0.5,"baffler",0.240419580419581,0.1545278263937,0.0302874539731653
"102",0.57,0.25,0,0.5,"baffler",0.330629370629371,0.265328875150692,0.0520044595295357
"103",0.57,0.5,0,0.5,"baffler",0.435104895104895,0.349352956807577,0.0684731795342851
"104",0.57,0.75,0,0.5,"baffler",0.503846153846154,0.421911275565193,0.0826946100107778
"105",0.57,1,0,0.5,"baffler",0.552447552447553,0.487923643158713,0.0956330340591077
"106",0.61,0.01,0,0.5,"baffler",0.0794736842105263,0.0307825321491658,0.00603337630123649
"107",0.61,0.05,0,0.5,"baffler",0.179013157894737,0.105984598278853,0.0207729812626553
"108",0.61,0.1,0,0.5,"baffler",0.238618421052632,0.150752351706668,0.0295474609345068
"109",0.61,0.25,0,0.5,"baffler",0.318355263157895,0.246931090489417,0.0483984937359256
"110",0.61,0.5,0,0.5,"baffler",0.416184210526316,0.340621680893025,0.0667618494550329
"111",0.61,0.75,0,0.5,"baffler",0.492960526315789,0.413183475565685,0.0809839612108743
"112",0.61,1,0,0.5,"baffler",0.550131578947368,0.468608150515629,0.0918471975010634
"113",0.65,0.01,0,0.5,"baffler",0.0722839506172839,0.0292612165703388,0.0057351984477864
"114",0.65,0.05,0,0.5,"baffler",0.169135802469136,0.102140999930056,0.0200196359862909
"115",0.65,0.1,0,0.5,"baffler",0.221851851851852,0.1452962076134,0.0284780566922263
"116",0.65,0.25,0,0.5,"baffler",0.31320987654321,0.245498219270313,0.0481176509769813
"117",0.65,0.5,0,0.5,"baffler",0.40462962962963,0.341984261764442,0.0670289153058307
"118",0.65,0.75,0,0.5,"baffler",0.496296296296296,0.417564145002903,0.081842572420569
"119",0.65,1,0,0.5,"baffler",0.540308641975309,0.454600413665493,0.0891016810784366
"120",0.69,0.01,0,0.5,"baffler",0.0702890173410404,0.030956556665567,0.00606748510645114
"121",0.69,0.05,0,0.5,"baffler",0.17271676300578,0.104435671182214,0.0204693915517139
"122",0.69,0.1,0,0.5,"baffler",0.209190751445087,0.146950112454414,0.0288022220410651
"123",0.69,0.25,0,0.5,"baffler",0.303410404624277,0.237467958184527,0.0465437198041672
"124",0.69,0.5,0,0.5,"baffler",0.377398843930636,0.32875455275814,0.0644358923405954
"125",0.69,0.75,0,0.5,"baffler",0.463063583815029,0.419227745262602,0.0821686380714699
"126",0.69,1,0,0.5,"baffler",0.523236994219653,0.456054256464483,0.0893866342670387
"127",0.73,0.01,0,0.5,"baffler",0.0696153846153846,0.0299733644128708,0.00587477942492267
"128",0.73,0.05,0,0.5,"baffler",0.163351648351648,0.0984029802587598,0.0192869841307169
"129",0.73,0.1,0,0.5,"baffler",0.215769230769231,0.147942758615014,0.0289967806885427
"130",0.73,0.25,0,0.5,"baffler",0.291263736263736,0.223383841866269,0.0437832330057887
