"baffle_prop","density","bush_density","male_prop","tactic","mean_success","sd","ci"
0.17,0.25,0,0.5,"baffler",0.545238095238095,0.336249526417696,0.0659049071778684
0.17,0.25,0,0.5,"caller",0.225192148569511,0.16178156865627,0.0317091874566289
0.17,0.25,0,0.5,"silent",0.0317495833825846,0.0217869099522794,0.00427023435064675
0.17,0.5,0,0.5,"baffler",0.710238095238095,0.450014760619237,0.0882028930813705
0.17,0.5,0,0.5,"caller",0.298200757765229,0.232391959941114,0.0455488241484584
0.17,0.5,0,0.5,"silent",0.0623044929120136,0.0317757949862571,0.00622805581730639
0.17,0.75,0,0.5,"baffler",0.847619047619048,0.573608955464556,0.112427355271053
0.17,0.75,0,0.5,"caller",0.372332220416172,0.274440056752518,0.0537902511234936
0.17,0.75,0,0.5,"silent",0.0842275727417237,0.0387436067109876,0.00759374691535356
0.17,1,0,0.5,"baffler",0.946904761904762,0.686553643933788,0.134564514211023
0.17,1,0,0.5,"caller",0.41844848731128,0.318877678393269,0.0625000249650807
0.17,1,0,0.5,"silent",0.120693551731288,0.0417821194438196,0.00818929541098865
0.21,0.01,0,0.5,"baffler",0.0945283018867924,0.0509179785393014,0.00997992379370307
0.21,0.01,0,0.5,"caller",0.0382864112139701,0.020681950228843,0.00405366224485323
0.21,0.01,0,0.5,"silent",0.00161315131513151,0.00371487531125572,0.000728115561006121
0.21,0.05,0,0.5,"baffler",0.256037735849057,0.133746272536603,0.0262142694171742
0.21,0.05,0,0.5,"caller",0.0998852917455643,0.0586053342566461,0.0114866455143026
0.21,0.05,0,0.5,"silent",0.0103879587958796,0.0108680134144063,0.00213013062922364
0.21,0.1,0,0.5,"baffler",0.353207547169811,0.202168465970481,0.0396250193302143
0.21,0.1,0,0.5,"caller",0.129238507258574,0.0959534050758776,0.018806867394872
0.21,0.1,0,0.5,"silent",0.0142293529352935,0.012928415999382,0.00253396953587887
0.21,0.25,0,0.5,"baffler",0.511320754716981,0.359232077951647,0.0704094872785229
0.21,0.25,0,0.5,"caller",0.196608665441217,0.147028730774773,0.0288176312318556
0.21,0.25,0,0.5,"silent",0.0340243418459493,0.0206996362653996,0.00405712870801832
0.21,0.5,0,0.5,"baffler",0.680377358490566,0.455370708396163,0.089252658845648
0.21,0.5,0,0.5,"caller",0.280904713920294,0.220945145544925,0.0433052485268054
0.21,0.5,0,0.5,"silent",0.0601915032679738,0.0350187101608377,0.00686366719152419
0.21,0.75,0,0.5,"baffler",0.79,0.551426011301279,0.108079498215051
0.21,0.75,0,0.5,"caller",0.336911393219795,0.264942573940271,0.0519287444922932
0.21,0.75,0,0.5,"silent",0.0866291158527617,0.0376716023927985,0.00738363406898851
0.21,1,0,0.5,"baffler",0.883584905660377,0.671482519369374,0.131610573796397
0.21,1,0,0.5,"caller",0.384537835752858,0.320681657013947,0.0628536047747336
0.21,1,0,0.5,"silent",0.117747934793479,0.0445976732127357,0.00874114394969619
0.25,0.01,0,0.5,"baffler",0.103709677419355,0.0482650246852572,0.00945994483831042
0.25,0.01,0,0.5,"caller",0.0354772570441306,0.0227973031217427,0.00446827141186157
0.25,0.01,0,0.5,"silent",0.00201465026764102,0.00444589333574975,0.00087139509380695
0.25,0.05,0,0.5,"baffler",0.260967741935484,0.126510466351482,0.0247960514048904
0.25,0.05,0,0.5,"caller",0.0958645518288621,0.0608151711530897,0.0119197735460056
0.25,0.05,0,0.5,"silent",0.00881865829302363,0.00979394316784402,0.00191961286089743
0.25,0.1,0,0.5,"baffler",0.351935483870968,0.192040668200206,0.0376399709672404
0.25,0.1,0,0.5,"caller",0.118903904606032,0.082192673899388,0.01610976408428
0.25,0.1,0,0.5,"silent",0.0163453868588684,0.0137024181893497,0.00268567396511255
0.25,0.25,0,0.5,"baffler",0.495,0.324608282077851,0.0636232232872587
0.25,0.25,0,0.5,"caller",0.188638183482041,0.150074404441751,0.0294145832705833
0.25,0.25,0,0.5,"silent",0.0330158174692049,0.020998164246842,0.00411564019238103
0.25,0.5,0,0.5,"baffler",0.613387096774193,0.449235321992488,0.0880501231105276
0.25,0.5,0,0.5,"caller",0.252735072065889,0.205326219450004,0.0402439390122008
0.25,0.5,0,0.5,"silent",0.065578947368421,0.0327104755657765,0.00641125321089219
0.25,0.75,0,0.5,"baffler",0.721612903225807,0.513529110654365,0.100651705688256
0.25,0.75,0,0.5,"caller",0.304309380999274,0.247739673174785,0.0485569759422579
0.25,0.75,0,0.5,"silent",0.0922453574094812,0.0434084017026674,0.00850804673372282
0.25,1,0,0.5,"baffler",0.811612903225806,0.607826896743332,0.119134071761693
0.25,1,0,0.5,"caller",0.353477489978415,0.279389204386237,0.0547602840597024
0.25,1,0,0.5,"silent",0.124095558044046,0.0516775864997042,0.010128806953942
0.29,0.01,0,0.5,"baffler",0.0856164383561643,0.0399202250150386,0.00782436410294756
0.29,0.01,0,0.5,"caller",0.0362865726227795,0.0211731592710964,0.00414993921713489
0.29,0.01,0,0.5,"silent",0.00134706616729089,0.00366626941441291,0.00071858880522493
0.29,0.05,0,0.5,"baffler",0.242191780821918,0.112083821396214,0.021968428993658
0.29,0.05,0,0.5,"caller",0.09448551818482,0.0502358944054258,0.00984623530346346
0.29,0.05,0,0.5,"silent",0.00796015879577189,0.00920287243873783,0.00180376299799261
0.29,0.1,0,0.5,"baffler",0.314931506849315,0.183471526321837,0.0359604191590801
0.29,0.1,0,0.5,"caller",0.115209206552053,0.0827042397255442,0.0162100309862067
0.29,0.1,0,0.5,"silent",0.0135781363238618,0.0117592562937686,0.00230481423357864
