"","baffle_prop","density","bush_density","male_prop","tactic","mean_success","sd","ci"
"1",0.01,0.5,1,0.5,"baffler",0.3,0.449466574975495,0.0880954486951969
"2",0.05,0.5,1,0.5,"baffler",0.25,0.151683408259406,0.0297299480188436
"3",0.09,0.5,1,0.5,"baffler",0.262272727272727,0.128865638492341,0.0252576651444989
"4",0.13,0.5,1,0.5,"baffler",0.2646875,0.0953105594685716,0.01868086965584
"5",0.17,0.5,1,0.5,"baffler",0.254761904761905,0.0850422589282198,0.0166682827499311
"6",0.21,0.5,1,0.5,"baffler",0.244905660377359,0.0790999420441162,0.0155035886406468
"7",0.25,0.5,1,0.5,"baffler",0.225161290322581,0.0842910002557772,0.0165210360501323
"8",0.29,0.5,1,0.5,"baffler",0.244109589041096,0.0714693099120021,0.0140079847427524
"9",0.33,0.5,1,0.5,"baffler",0.240853658536585,0.0592227735135506,0.0116076636086559
"10",0.37,0.5,1,0.5,"baffler",0.230869565217391,0.0695240326044423,0.0136267103904707
"11",0.41,0.5,1,0.5,"baffler",0.227184466019417,0.0568461552727437,0.0111418464334578
"12",0.45,0.5,1,0.5,"baffler",0.217857142857143,0.0503319479919279,0.00986506180641787
"13",0.49,0.5,1,0.5,"baffler",0.216803278688525,0.0494195072645132,0.0096862234238446
"14",0.53,0.5,1,0.5,"baffler",0.214393939393939,0.059237102635034,0.0116104721164667
"15",0.57,0.5,1,0.5,"baffler",0.216993006993007,0.0534003075982981,0.0104664602892664
"16",0.61,0.5,1,0.5,"baffler",0.222697368421053,0.0538824556626038,0.0105609613098703
"17",0.65,0.5,1,0.5,"baffler",0.212962962962963,0.0587935570850769,0.0115235371886751
"18",0.69,0.5,1,0.5,"baffler",0.216184971098266,0.0517336229192632,0.0101397900921756
"19",0.73,0.5,1,0.5,"baffler",0.210769230769231,0.0521284979622268,0.0102171856005965
"20",0.77,0.5,1,0.5,"baffler",0.206510416666667,0.0510330498034682,0.0100024777614798
"21",0.81,0.5,1,0.5,"baffler",0.203762376237624,0.0474350755747062,0.00929727481264242
"22",0.85,0.5,1,0.5,"baffler",0.207688679245283,0.0467267884230017,0.00915845053090833
"23",0.89,0.5,1,0.5,"baffler",0.196261261261261,0.0443353641089092,0.0086897313653462
"24",0.93,0.5,1,0.5,"baffler",0.205387931034483,0.0433048889221167,0.00848775822873488
"25",0.97,0.5,1,0.5,"baffler",0.196487603305785,0.0414322562815127,0.00812072223117649
"26",0.01,0.5,1,0.5,"caller",0.313298033670207,0.0611783827692597,0.0119909630227749
"27",0.05,0.5,1,0.5,"caller",0.299610239621424,0.0524860592215657,0.0102872676074269
"28",0.09,0.5,1,0.5,"caller",0.295922755148128,0.0623192336832575,0.0122145698019185
"29",0.13,0.5,1,0.5,"caller",0.287842623554705,0.0635180237347277,0.0124495326520066
"30",0.17,0.5,1,0.5,"caller",0.284772291291423,0.0584310934363404,0.0114524943135227
"31",0.21,0.5,1,0.5,"caller",0.279156804474367,0.0691815582536642,0.0135595854177182
"32",0.25,0.5,1,0.5,"caller",0.28246166332714,0.071829907307193,0.0140786618322098
"33",0.29,0.5,1,0.5,"caller",0.268167541493524,0.0652841723962668,0.0127956977896683
"34",0.33,0.5,1,0.5,"caller",0.272911646586345,0.0685421013302462,0.0134342518607283
"35",0.37,0.5,1,0.5,"caller",0.263677102932599,0.0735998909550199,0.0144255786271839
"36",0.41,0.5,1,0.5,"caller",0.256652241910056,0.0720899202229934,0.0141296243637067
"37",0.45,0.5,1,0.5,"caller",0.25717430055026,0.0711895902621919,0.0139531596913896
"38",0.49,0.5,1,0.5,"caller",0.26183099718382,0.0811393632639167,0.0159033151997277
"39",0.53,0.5,1,0.5,"caller",0.264592969858896,0.0849476343781917,0.0166497363381256
"40",0.57,0.5,1,0.5,"caller",0.254229156587647,0.0734094664742842,0.0143882554289597
"41",0.61,0.5,1,0.5,"caller",0.248502949051961,0.0730894368692619,0.0143255296263753
"42",0.65,0.5,1,0.5,"caller",0.251179905365952,0.0925672878355968,0.018143188415777
"43",0.69,0.5,1,0.5,"caller",0.240954243717402,0.100372915182652,0.0196730913757998
"44",0.73,0.5,1,0.5,"caller",0.237801916221034,0.0980361433383557,0.0192150840943177
"45",0.77,0.5,1,0.5,"caller",0.243214285714286,0.115599000608259,0.0226574041192187
"46",0.81,0.5,1,0.5,"caller",0.229673913043478,0.110065714038288,0.0215728799515044
"47",0.85,0.5,1,0.5,"caller",0.225770553835569,0.110649468424991,0.0216872958112981
"48",0.89,0.5,1,0.5,"caller",0.246428571428571,0.154428545398478,0.0302679948981018
"49",0.93,0.5,1,0.5,"caller",0.227777777777778,0.171097117797665,0.0335350350883424
"50",0.97,0.5,1,0.5,"caller",0.2475,0.249987373418513,0.0489975251900285
"51",0.01,0.5,1,0.5,"silent",0.256685512206639,0.0476673899652892,0.00934280843319668
"52",0.05,0.5,1,0.5,"silent",0.242583917582352,0.0456006050965372,0.0089377185989213
"53",0.09,0.5,1,0.5,"silent",0.23898002002567,0.0547934215825639,0.0107395106301825
"54",0.13,0.5,1,0.5,"silent",0.241337308117125,0.0484487945873538,0.00949596373912135
"55",0.17,0.5,1,0.5,"silent",0.236336875388762,0.0513717287612727,0.0100688588372094
"56",0.21,0.5,1,0.5,"silent",0.221898459845985,0.0534058631314913,0.0104675491737723
"57",0.25,0.5,1,0.5,"silent",0.237338753457768,0.0490161455506005,0.0096071645279177
"58",0.29,0.5,1,0.5,"silent",0.237698714518939,0.0583649866487612,0.0114395373831572
