"baffle_prop","density","bush_density","prop_males","mean_phonotaxis_steps","mean_random_steps","mean_total_steps","sd_phonotaxis_steps","sd_random_steps","sd_total_steps","ci_phonotaxis_steps","ci_random_steps","ci_total_steps"
0.01,0.05,"0.5",0.5,13.46628,45.879,59.34528,6.19015756409179,6.31399477831634,0.248653995940081,1.21327088256199,1.23754297655,0.0487361832042558
0.01,0.25,"0.5",0.5,32.91316,25.22608,58.13924,13.2871371632246,13.2867380311605,0.243082357910386,2.60427888399202,2.60420065410746,0.0476441421504356
0.01,0.5,"0.5",0.5,39.33464,17.70868,57.04332,12.5929732045978,12.3449782084568,0.419151255936965,2.46822274810116,2.41961572885753,0.0821536461636451
0.01,0.75,"0.5",0.5,40.0532,16.10608,56.15928,10.895763780646,10.473993042587,0.555740621135253,2.13556970100661,2.05290263634706,0.10892516174251
0.01,1,"0.5",0.5,39.61888,15.7124,55.33128,9.77701768711407,9.28560214917306,0.706385393994301,1.91629546667436,1.81997802123792,0.138451537222883
0.05,0.05,"0.5",0.5,13.63816,45.70616,59.34432,6.18339342406479,6.30255529823204,0.249241389626664,1.2119451111167,1.23530083845348,0.0488513123668261
0.05,0.25,"0.5",0.5,34.08672,24.09052,58.17724,13.4199845775702,13.3667386580696,0.30033446406137,2.63031697720376,2.61988077698163,0.0588655549560285
0.05,0.5,"0.5",0.5,40.36744,16.9428,57.31024,12.9195020577655,12.6187757558234,0.457951281428075,2.53222240332203,2.4732800481414,0.0897584511599027
0.05,0.75,"0.5",0.5,40.86904,15.57,56.43904,10.9822145233449,10.4942502775991,0.648706466124641,2.1525140465756,2.05687305440942,0.12714646736043
0.05,1,"0.5",0.5,40.35096,15.18488,55.53584,9.55720655049837,8.98555395647071,0.732458744589245,1.87321248389768,1.76116857546826,0.143561913939492
0.09,0.05,"0.5",0.5,14.84976,44.51128,59.36104,6.81988565489617,6.91448394340723,0.227674493853649,1.33669758835965,1.35523885290782,0.0446242007953152
0.09,0.25,"0.5",0.5,35.02484,23.267,58.29184,13.5884110968044,13.5048635294658,0.239568581943763,2.66332857497367,2.64695325177529,0.0469554420609775
0.09,0.5,"0.5",0.5,40.51548,16.83392,57.3494,12.8320560800684,12.4964750550552,0.479398402461698,2.51508299169341,2.44930911079081,0.0939620868824928
0.09,0.75,"0.5",0.5,41.2464,15.32076,56.56716,11.0081605579082,10.5174419241889,0.606672739230347,2.15759946935002,2.06141861714103,0.118907856889148
0.09,1,"0.5",0.5,40.88636,14.85848,55.74484,10.3424445633447,9.6523144746101,0.847573038120902,2.02711913441556,1.89185363702358,0.166124315471697
0.13,0.05,"0.5",0.5,14.83416,44.56348,59.39764,7.01441020468549,7.11693084809496,0.257569114780653,1.37482440011836,1.39491844622661,0.0504835464970079
0.13,0.25,"0.5",0.5,34.98128,23.278,58.25928,13.3921965745924,13.3566430125858,0.317460315821068,2.62487052862012,2.61790203046681,0.0622222219009293
0.13,0.5,"0.5",0.5,41.46824,16.02084,57.48908,12.9236292093908,12.5291433008378,0.509482718058228,2.53303132504059,2.45571208696421,0.0998586127394127
0.13,0.75,"0.5",0.5,42.19552,14.50656,56.70208,11.1871187004419,10.6119654443615,0.701543805265979,2.19267526528662,2.07994522709486,0.137502585832132
0.13,1,"0.5",0.5,41.7814,14.13596,55.91736,9.87174895109956,9.12867762771296,0.860044672553628,1.93486279441551,1.78922081503174,0.168568755820511
0.17,0.05,"0.5",0.5,15.57616,43.8758,59.45196,7.14825475163997,7.23460189127588,0.240415461947509,1.40105793132143,1.41798197069007,0.0471214305417118
0.17,0.25,"0.5",0.5,36.22476,22.13004,58.3548,13.9085805207949,13.7541419347781,0.30865521282499,2.72608178207579,2.6958118192165,0.0604964217136981
0.17,0.5,"0.5",0.5,42.17692,15.3224,57.49932,12.7644351983521,12.3424846769198,0.542240188309739,2.50182929887701,2.41912699667628,0.106279076908709
0.17,0.75,"0.5",0.5,42.384,14.48592,56.86992,11.7914981459208,11.1674309930008,0.729846361028861,2.31113363660047,2.18881647462815,0.143049886761657
0.17,1,"0.5",0.5,42.94304,13.24268,56.18572,10.2085741600981,9.42819657646384,0.936905588853136,2.00088053537922,1.84792652898691,0.183633495415215
0.21,0.05,"0.5",0.5,15.42428,43.9946,59.41888,7.10930346796337,7.19296746057487,0.23246145678131,1.39342347972082,1.40982162227267,0.0455624455291368
